cod;pais;cidade;veiculo;timestamp_resp;genero;renda_familiar;local_residencia;posse_bicicleta;posse_bicicleta_eletrica;posse_patinete_eletrica;posse_motocicleta;posse_automovel;posse_nenhum_desses;motivo;migracao_modal;m_caminhada;m_app_taxi;m_automovel;m_onibus_local;m_onibus_corredor;m_metro_trem;m_nao;integracao;i_metro;i_trem;i_onibus;i_fretado;i_automovel;i_app_taxi;i_nao;acidente;a_caminhada;a_bicicleta_propria;a_bicicleta_compartilhada;a_patinete_compartilhada;a_motocicleta;a_automovel;a_transporte_coletivo;a_nao;calcadas_largas_planas;ciclovias_ciclofaixas;traffic_calming;respeito_motoristas;capacete
Y6137;BR;SAO PAULO;PATINETE;01/04/2019 15:44;MASCULINO;MAIS DE 20 SM;DENTRO;1;0;0;0;1;0;TRABALHO;SIM;0;1;0;0;0;0;0; NAO;0;0;0;0;0;0;1; SIM;0;0;0;0;0;1;0;0;2;5;3;4;1
Y6138;BR;SAO PAULO;PATINETE;01/04/2019 15:48;MASCULINO;DE 01 A 02 SM;FORA - ZONA LESTE;0;0;0;0;0;1;TRABALHO;SIM;1;0;0;0;0;0;0; SIM;0;0;1;0;0;0;0; NAO;0;0;0;0;0;0;0;1;1;2;5;4;3
Y6139;BR;SAO PAULO;PATINETE;01/04/2019 15:51;MASCULINO;DE 10 A 20 SM;DENTRO;1;0;0;0;1;0;LAZER;SIM;1;1;0;0;0;0;0; NAO;0;0;0;0;0;0;1; SIM;0;1;0;0;0;0;0;0;4;5;2;3;1
Y6140;BR;SAO PAULO;BICICLETA;01/04/2019 16:05;MASCULINO;DE 10 A 20 SM;FORA - ZONA OESTE;1;0;0;0;1;0;OUTROS;SIM;1;0;0;0;0;0;0; NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;0;1;2;5;1;3;4
Y6141;BR;SAO PAULO;BICICLETA;01/04/2019 16:13;FEMININO;DE 03 A 05 SM;DENTRO;0;0;0;0;1;0;LAZER;SIM;1;1;1;0;0;0;0; NAO;0;0;0;0;0;0;1; SIM;1;0;0;0;0;1;0;0;4;5;2;3;1
Y6142;BR;SAO PAULO;BICICLETA;01/04/2019 16:20;MASCULINO;MAIS DE 20 SM;DENTRO;0;1;0;1;1;0;LAZER;SIM;0;1;0;0;0;0;0; SIM;1;0;0;0;0;0;0; NAO;0;0;0;0;0;0;0;1;2;3;4;5;1
Y6143;BR;SAO PAULO;PATINETE;01/04/2019 16:30;MASCULINO;DE 03 A 05 SM;FORA - ZONA LESTE;0;0;0;0;0;1;LAZER;SIM;1;0;0;0;0;0;0; SIM;1;1;0;0;0;0;0; NAO;0;0;0;0;0;0;0;1;3;2;1;4;5
Y6144;BR;SAO PAULO;PATINETE;01/04/2019 16:32;MASCULINO;DE 01 A 02 SM;FORA - CENTRO;0;0;0;1;0;0;LAZER;SIM;1;0;0;0;0;0;0; SIM;0;0;1;0;0;0;0; SIM;0;0;0;0;1;0;0;0;1;3;4;2;5
Y6145;BR;SAO PAULO;PATINETE;01/04/2019 16:40;FEMININO;ATE 01 SM;DENTRO;0;0;0;0;0;1;EDUCACAO;SIM;1;0;0;0;0;0;0; SIM;0;0;0;0;1;0;0; NAO;0;0;0;0;0;0;0;1;1;4;5;2;3
Y6146;BR;SAO PAULO;BICICLETA;01/04/2019 16:54;MASCULINO;DE 02 A 03 SM;FORA - ZONA LESTE;0;0;0;0;1;0;TRABALHO;SIM;1;1;0;1;0;0;0; SIM;1;0;1;0;0;0;0; NAO;0;0;0;0;0;0;0;1;5;1;3;4;2
